cust_id,date,plan_type,agent,cancel_reason,outcome,postal_code,add_ons
593224,2023-11-28,VIP Standard - Furnace,Jill,Moving,N,N2M,"Water Heater, Humidifier, Gas Fireplace, Ductless System, Boiler System"
820222,2023-02-22,VIP Essential,Jill,Moving,Y,N2T,"HRV System, Gas Fireplace, Duct Cleaning, Humidifier, Tankless, Boiler System, Water Heater"
345618,2023-10-16,VIP Essential,Jack,Price,N,N2P,"Tankless, Humidifier"
559618,2023-10-12,Whole House Protection,Jack,Price,N,N2R,"Tankless, Boiler System"
272892,2023-02-27,VIP Standard - Furnace,Bob,Unused,Y,N2T,"Ductless System, Gas Fireplace, Humidifier, Duct Cleaning, Boiler System, Water Heater, Tankless"
862998,2023-01-06,Whole House Protection,Jack,Bad Customer Service,Y,N2K,
956289,2023-02-08,Whole House Protection,Bob,Bad Customer Service,N,N2H,"Ductless System, Humidifier, Water Heater"
816977,2023-06-30,VIP Essential,Jane,Price,Y,N2P,"Gas Fireplace, Water Heater, Humidifier, Boiler System, Ductless System, HRV System, Duct Cleaning, Tankless"
137292,2023-10-16,VIP Standard - Furnace,Jane,Moving,Y,N2T,"Gas Fireplace, HRV System, Water Heater, Humidifier, Boiler System"
912910,2023-07-17,VIP Standard - Furnace & AC/Heat Pump,Jill,Moving,Y,N2V,HRV System
520472,2023-06-12,Whole House Protection,Jill,Unused,N,N2A,"Duct Cleaning, Gas Fireplace, Humidifier"
630216,2023-12-05,VIP Standard - AC/Heat Pump,Jane,Bad Customer Service,Y,N2H,"Gas Fireplace, Tankless, Water Heater, Humidifier, HRV System"
313161,2023-07-19,VIP Standard - AC/Heat Pump,Jill,Price,Y,N2K,"Duct Cleaning, Water Heater, Gas Fireplace, HRV System, Humidifier, Ductless System, Boiler System, Tankless"
228117,2023-05-05,VIP Essential,Jill,Unused,Y,N2N,"Boiler System, Duct Cleaning, Gas Fireplace, HRV System, Ductless System, Tankless, Water Heater, Humidifier"
601733,2023-03-31,VIP Standard - AC/Heat Pump,Jane,Price,N,N2L,"Ductless System, HRV System"
920836,2023-12-07,VIP Essential,Bob,Unused,Y,N2G,Humidifier
277050,2023-12-22,VIP Standard - Furnace,Jane,Bad Customer Service,N,N2G,Duct Cleaning
974125,2023-05-05,VIP Standard - Furnace & AC/Heat Pump,Jack,Bad Customer Service,Y,N2T,"Ductless System, Gas Fireplace"
609058,2023-09-19,VIP Standard - Furnace & AC/Heat Pump,Bob,Unused,Y,N2H,"Humidifier, Duct Cleaning, HRV System, Ductless System, Boiler System"
760586,2023-06-09,VIP Standard - Furnace & AC/Heat Pump,Jane,Bad Customer Service,N,N2C,"Humidifier, Water Heater, Boiler System, Ductless System, Duct Cleaning, Tankless, HRV System"
740195,2023-01-10,VIP Standard - Furnace,Bob,Moving,Y,N2V,"Gas Fireplace, Humidifier, Boiler System, Water Heater, Tankless"
358910,2023-02-10,Whole House Protection,Jill,Price,Y,N2C,Humidifier
234411,2023-02-15,VIP Essential,Bob,Price,N,N2K,"HRV System, Water Heater"
926747,2023-12-14,VIP Standard - AC/Heat Pump,Jane,Bad Customer Service,Y,N2B,"HRV System, Ductless System, Water Heater, Tankless, Gas Fireplace, Boiler System, Humidifier, Duct Cleaning"
144425,2023-04-05,Whole House Protection,Jack,Moving,N,N2M,Boiler System
947193,2023-09-28,VIP Standard - Furnace,Jack,Moving,Y,N2J,"Gas Fireplace, Water Heater, Duct Cleaning, Ductless System, Humidifier, Boiler System"
468659,2023-10-30,VIP Essential,Bob,Moving,N,N2H,"Gas Fireplace, Tankless, HRV System, Humidifier, Duct Cleaning"
968776,2023-01-18,VIP Standard - Furnace & AC/Heat Pump,Jane,Unused,Y,N2L,"Ductless System, Duct Cleaning, Gas Fireplace, HRV System, Water Heater, Humidifier, Boiler System, Tankless"
418222,2023-11-02,VIP Standard - Furnace & AC/Heat Pump,Jill,Moving,Y,N2N,"HRV System, Water Heater"
301716,2023-09-26,Whole House Protection,Jane,Price,Y,N2R,"Ductless System, Gas Fireplace, Boiler System, HRV System, Duct Cleaning, Humidifier, Tankless"
147635,2023-04-07,VIP Standard - Furnace,Jack,Bad Customer Service,Y,N2J,"Humidifier, Gas Fireplace, Tankless, Ductless System, HRV System, Boiler System"
717722,2023-03-01,VIP Standard - AC/Heat Pump,Jane,Price,N,N2B,"Boiler System, Gas Fireplace, Ductless System"
847095,2023-06-30,VIP Standard - Furnace & AC/Heat Pump,Jack,Unused,N,N2L,"Water Heater, Boiler System, Ductless System, Duct Cleaning, Gas Fireplace, Tankless"
279199,2023-10-23,VIP Essential,Jack,Price,N,N2J,"Water Heater, HRV System"
949958,2023-06-07,VIP Essential,Jill,Moving,Y,N2H,"Gas Fireplace, Humidifier, Tankless, HRV System, Duct Cleaning, Water Heater"
467228,2023-09-12,VIP Essential,Jill,Price,Y,N2L,
110795,2023-12-28,Whole House Protection,Jack,Moving,Y,N2T,"Gas Fireplace, Boiler System, HRV System, Duct Cleaning, Ductless System"
988849,2023-11-13,VIP Standard - Furnace & AC/Heat Pump,Jill,Bad Customer Service,Y,N2R,"Boiler System, Tankless"
697889,2023-01-19,VIP Standard - Furnace,Bob,Bad Customer Service,Y,N2K,
895682,2023-04-04,VIP Standard - AC/Heat Pump,Jill,Price,N,N2L,"Humidifier, HRV System, Boiler System, Tankless, Duct Cleaning, Gas Fireplace, Ductless System"
829861,2023-02-23,VIP Standard - Furnace,Jane,Price,Y,N2N,"Gas Fireplace, Duct Cleaning, Water Heater, Ductless System, HRV System, Boiler System"
781246,2023-09-21,VIP Essential,Jack,Unused,N,N2J,
367019,2023-12-04,Whole House Protection,Jill,Bad Customer Service,Y,N2H,HRV System
303454,2023-04-14,VIP Standard - AC/Heat Pump,Jill,Unused,N,N2T,
989497,2023-12-11,Whole House Protection,Jane,Price,N,N2V,"Ductless System, Gas Fireplace, Tankless, Humidifier, Duct Cleaning, HRV System, Water Heater, Boiler System"
195907,2023-04-03,Whole House Protection,Bob,Unused,N,N2K,"Boiler System, Water Heater, Gas Fireplace"
266494,2023-07-14,VIP Standard - Furnace & AC/Heat Pump,Jack,Bad Customer Service,N,N2N,"Boiler System, Water Heater, Humidifier, Ductless System, HRV System, Duct Cleaning, Tankless, Gas Fireplace"
579189,2023-03-27,VIP Essential,Jack,Bad Customer Service,N,N2B,"Water Heater, Gas Fireplace, Boiler System"
874281,2023-06-07,Whole House Protection,Jill,Price,N,N2J,"Ductless System, Tankless, Boiler System, Gas Fireplace, Duct Cleaning, Humidifier, HRV System"
266969,2023-08-29,VIP Standard - Furnace & AC/Heat Pump,Bob,Price,N,N2L,"Tankless, Gas Fireplace, Boiler System, Duct Cleaning, Water Heater, HRV System, Humidifier, Ductless System"
937797,2023-10-03,VIP Standard - Furnace,Jack,Unused,N,N2N,"Humidifier, HRV System, Duct Cleaning, Tankless, Ductless System, Gas Fireplace, Water Heater"
885533,2023-03-13,VIP Standard - Furnace,Jane,Moving,N,N2R,"Duct Cleaning, Tankless, Water Heater"
369125,2023-07-06,VIP Standard - Furnace,Bob,Moving,Y,N2B,"Tankless, Ductless System, Water Heater, Humidifier, HRV System"
250277,2023-07-18,VIP Standard - AC/Heat Pump,Jill,Moving,N,N2T,"Humidifier, Boiler System, Gas Fireplace, Tankless, Water Heater"
963937,2023-10-16,VIP Standard - AC/Heat Pump,Bob,Bad Customer Service,Y,N2M,"Gas Fireplace, Boiler System, HRV System, Humidifier, Duct Cleaning, Ductless System"
171585,2023-09-04,VIP Standard - Furnace,Jack,Unused,N,N2C,"Water Heater, Duct Cleaning"
249449,2023-09-06,VIP Standard - Furnace & AC/Heat Pump,Jill,Price,Y,N2K,Humidifier
908357,2023-03-17,VIP Essential,Jill,Bad Customer Service,Y,N2R,HRV System
315724,2023-12-08,Whole House Protection,Bob,Bad Customer Service,Y,N2L,"Ductless System, Tankless, Humidifier, HRV System"
312475,2023-11-09,Whole House Protection,Jill,Price,N,N2L,"Humidifier, Ductless System, HRV System, Duct Cleaning, Gas Fireplace, Water Heater, Tankless"
386648,2023-04-18,VIP Standard - AC/Heat Pump,Jack,Price,Y,N2A,"Gas Fireplace, Duct Cleaning, Water Heater, Tankless, Ductless System, Humidifier, HRV System, Boiler System"
792819,2023-10-31,Whole House Protection,Jack,Bad Customer Service,Y,N2H,"Water Heater, Boiler System, Gas Fireplace, Humidifier, HRV System, Ductless System, Duct Cleaning"
479978,2023-12-21,Whole House Protection,Jane,Unused,Y,N2T,Tankless
813781,2023-03-15,VIP Essential,Jill,Unused,Y,N2C,Tankless
276545,2023-07-17,VIP Standard - AC/Heat Pump,Bob,Moving,Y,N2E,
437831,2023-06-29,VIP Essential,Jack,Price,Y,N2M,Tankless
323837,2023-12-19,VIP Standard - AC/Heat Pump,Jane,Bad Customer Service,N,N2P,
106921,2023-07-12,VIP Standard - AC/Heat Pump,Jill,Moving,Y,N2C,"Humidifier, Duct Cleaning, Ductless System, HRV System, Boiler System, Tankless"
886903,2023-07-14,VIP Standard - Furnace,Jane,Bad Customer Service,N,N2P,"Humidifier, Water Heater, HRV System, Duct Cleaning, Gas Fireplace"
347419,2023-06-28,VIP Standard - Furnace & AC/Heat Pump,Jane,Bad Customer Service,N,N2T,
775293,2023-12-14,VIP Standard - AC/Heat Pump,Bob,Moving,N,N2N,"Tankless, Boiler System, Gas Fireplace, Water Heater, Humidifier, HRV System"
528878,2023-03-27,VIP Essential,Jill,Bad Customer Service,N,N2B,"HRV System, Tankless, Duct Cleaning, Boiler System, Humidifier, Water Heater"
943596,2023-09-11,VIP Standard - Furnace & AC/Heat Pump,Jane,Unused,N,N2L,"HRV System, Gas Fireplace, Boiler System, Duct Cleaning, Water Heater, Humidifier, Tankless"
748038,2023-11-01,VIP Standard - Furnace,Jill,Price,N,N2M,"Ductless System, Boiler System, HRV System, Water Heater, Duct Cleaning"
511219,2023-12-28,VIP Essential,Jack,Unused,Y,N2B,"Ductless System, Water Heater, HRV System, Humidifier, Tankless"
344944,2023-12-28,VIP Essential,Jack,Unused,N,N2P,"Ductless System, Duct Cleaning, Water Heater, Tankless, Boiler System"
498404,2023-03-20,Whole House Protection,Bob,Price,N,N2P,"HRV System, Duct Cleaning, Gas Fireplace, Water Heater"
204159,2023-02-09,VIP Essential,Jill,Moving,N,N2G,"Humidifier, Water Heater, Gas Fireplace, Boiler System, Tankless, Ductless System"
106404,2023-06-02,Whole House Protection,Jack,Price,Y,N2G,
898385,2023-07-03,VIP Standard - Furnace,Jane,Price,N,N2B,"Duct Cleaning, HRV System, Water Heater, Ductless System, Tankless"
349494,2023-09-20,VIP Essential,Jack,Price,Y,N2J,"Ductless System, Duct Cleaning, Water Heater, HRV System, Gas Fireplace, Boiler System, Tankless"
383232,2023-10-10,VIP Standard - Furnace & AC/Heat Pump,Jack,Price,Y,N2A,Humidifier
706425,2023-07-10,VIP Essential,Jane,Bad Customer Service,Y,N2B,"Duct Cleaning, Tankless, Water Heater, Boiler System, Ductless System, HRV System, Humidifier, Gas Fireplace"
578326,2023-12-08,VIP Standard - Furnace,Jack,Bad Customer Service,N,N2A,"HRV System, Tankless"
173178,2023-01-23,VIP Standard - Furnace & AC/Heat Pump,Jack,Moving,N,N2B,"Ductless System, Duct Cleaning, Gas Fireplace, HRV System"
920792,2023-03-07,Whole House Protection,Jane,Moving,Y,N2N,"Water Heater, Ductless System"
344135,2023-08-07,Whole House Protection,Jack,Unused,N,N2J,"Water Heater, Tankless, Gas Fireplace, Ductless System"
232613,2023-06-15,VIP Standard - Furnace,Jill,Moving,Y,N2R,"Gas Fireplace, Duct Cleaning, Boiler System, Tankless, HRV System, Water Heater, Humidifier, Ductless System"
610666,2023-09-21,VIP Standard - Furnace & AC/Heat Pump,Jack,Price,Y,N2C,Gas Fireplace
851781,2023-05-11,VIP Standard - AC/Heat Pump,Jane,Price,Y,N2M,HRV System
247404,2023-04-12,VIP Standard - Furnace & AC/Heat Pump,Bob,Unused,N,N2V,"Ductless System, HRV System, Boiler System, Water Heater, Humidifier, Gas Fireplace, Tankless"
700692,2023-05-08,VIP Standard - Furnace,Jane,Bad Customer Service,Y,N2T,"Water Heater, Tankless, Gas Fireplace, Humidifier, Boiler System, Ductless System, HRV System, Duct Cleaning"
208852,2023-05-10,VIP Essential,Jill,Bad Customer Service,Y,N2M,"Duct Cleaning, Gas Fireplace, Ductless System"
227406,2023-05-17,Whole House Protection,Jill,Bad Customer Service,Y,N2H,
373774,2023-07-17,VIP Essential,Jack,Price,Y,N2B,Ductless System
752773,2023-11-27,VIP Standard - Furnace,Jill,Unused,N,N2T,"Water Heater, Duct Cleaning, Humidifier, Ductless System, Gas Fireplace"
904211,2023-08-03,VIP Standard - Furnace & AC/Heat Pump,Jill,Price,N,N2J,"Humidifier, Water Heater, Gas Fireplace, Boiler System, Ductless System, Tankless"
735405,2023-08-22,VIP Standard - Furnace & AC/Heat Pump,Bob,Bad Customer Service,N,N2B,"Tankless, Water Heater, Duct Cleaning, Humidifier"
897500,2023-07-11,VIP Standard - AC/Heat Pump,Jill,Bad Customer Service,Y,N2C,"Water Heater, Ductless System"
510290,2023-05-19,VIP Standard - AC/Heat Pump,Jill,Price,N,N2V,"Tankless, HRV System, Ductless System"
193416,2023-11-13,VIP Essential,Jack,Bad Customer Service,Y,N2J,"Ductless System, Water Heater"
850882,2023-04-06,VIP Standard - Furnace,Jack,Unused,Y,N2H,"Humidifier, Water Heater, Duct Cleaning, HRV System, Boiler System, Tankless"
790329,2023-12-21,VIP Standard - Furnace,Jack,Bad Customer Service,Y,N2G,"HRV System, Tankless, Ductless System, Boiler System, Gas Fireplace"
960422,2023-11-15,VIP Essential,Jack,Bad Customer Service,N,N2M,"Water Heater, HRV System, Duct Cleaning, Boiler System, Gas Fireplace, Tankless, Humidifier"
408579,2023-11-20,VIP Standard - Furnace & AC/Heat Pump,Bob,Price,Y,N2N,"Boiler System, Water Heater, Ductless System"
828385,2023-07-05,VIP Standard - Furnace & AC/Heat Pump,Jill,Moving,N,N2N,
811594,2023-07-26,VIP Standard - AC/Heat Pump,Bob,Moving,Y,N2H,"Boiler System, Water Heater"
652919,2023-09-06,VIP Standard - Furnace & AC/Heat Pump,Jack,Moving,Y,N2K,"Tankless, Ductless System, Boiler System, Gas Fireplace, HRV System, Water Heater, Humidifier"
217399,2023-05-10,Whole House Protection,Jane,Unused,N,N2R,"Gas Fireplace, Duct Cleaning, Tankless, Humidifier, HRV System"
106988,2023-11-14,VIP Essential,Jill,Moving,Y,N2L,"Gas Fireplace, Water Heater, Boiler System, Humidifier, Tankless, HRV System, Ductless System, Duct Cleaning"
476208,2023-07-04,VIP Essential,Bob,Price,N,N2R,
351867,2023-12-04,VIP Standard - Furnace,Bob,Bad Customer Service,N,N2J,
683236,2023-11-14,VIP Standard - Furnace & AC/Heat Pump,Bob,Moving,Y,N2T,"Duct Cleaning, Ductless System, Boiler System"
745878,2023-05-15,VIP Standard - Furnace & AC/Heat Pump,Bob,Bad Customer Service,N,N2G,"Tankless, HRV System, Gas Fireplace, Duct Cleaning, Boiler System, Ductless System"
582095,2023-07-24,VIP Essential,Jill,Moving,N,N2M,"Water Heater, Tankless, Gas Fireplace, Duct Cleaning, Boiler System"
608371,2023-03-23,Whole House Protection,Jill,Bad Customer Service,N,N2B,"Duct Cleaning, Boiler System, Ductless System, Water Heater, Gas Fireplace, Tankless"
493157,2023-11-14,Whole House Protection,Jill,Unused,Y,N2C,"Duct Cleaning, Ductless System, Humidifier"
538059,2023-05-26,VIP Standard - Furnace & AC/Heat Pump,Jack,Moving,N,N2N,"Tankless, Ductless System, Boiler System, Humidifier, Duct Cleaning, HRV System, Water Heater"
381223,2023-03-31,VIP Essential,Jack,Unused,N,N2C,
992563,2023-06-21,VIP Standard - Furnace,Jane,Price,N,N2P,"Gas Fireplace, Tankless, Boiler System, Duct Cleaning, Humidifier, HRV System"
434223,2023-05-31,VIP Standard - Furnace,Jane,Price,Y,N2G,"Water Heater, Tankless, Duct Cleaning, Gas Fireplace, Boiler System, Humidifier"
831824,2023-01-17,VIP Essential,Bob,Moving,Y,N2T,"Humidifier, Duct Cleaning, Ductless System, Gas Fireplace, Boiler System, HRV System, Tankless, Water Heater"
848810,2023-06-01,VIP Standard - AC/Heat Pump,Jane,Moving,Y,N2K,"HRV System, Ductless System, Duct Cleaning"
787906,2023-10-12,VIP Standard - Furnace & AC/Heat Pump,Jack,Moving,Y,N2P,"Duct Cleaning, Boiler System, HRV System, Tankless, Ductless System, Humidifier"
474422,2023-11-02,VIP Standard - Furnace & AC/Heat Pump,Bob,Moving,Y,N2V,"Humidifier, Gas Fireplace, Tankless, HRV System, Ductless System, Water Heater, Duct Cleaning"
348883,2023-09-04,Whole House Protection,Bob,Unused,N,N2V,"HRV System, Tankless, Gas Fireplace, Water Heater, Duct Cleaning, Ductless System, Humidifier, Boiler System"
301525,2023-03-29,Whole House Protection,Jane,Bad Customer Service,N,N2L,
457854,2023-10-31,VIP Standard - Furnace & AC/Heat Pump,Bob,Moving,Y,N2N,
822477,2023-05-08,VIP Standard - Furnace & AC/Heat Pump,Jane,Price,N,N2R,"Water Heater, Duct Cleaning, Tankless"
721265,2023-02-14,VIP Standard - Furnace & AC/Heat Pump,Bob,Price,Y,N2R,"HRV System, Water Heater, Duct Cleaning, Ductless System, Boiler System"
685012,2023-06-30,VIP Essential,Jack,Moving,Y,N2H,HRV System
108641,2023-05-02,Whole House Protection,Jack,Unused,N,N2P,Tankless
919807,2023-03-16,VIP Essential,Jack,Unused,Y,N2R,"Ductless System, Gas Fireplace, Tankless, Duct Cleaning, HRV System, Humidifier"
392777,2023-07-05,VIP Standard - Furnace,Jack,Unused,N,N2J,"Humidifier, Gas Fireplace"
754963,2023-04-14,VIP Essential,Bob,Price,Y,N2A,"Ductless System, Duct Cleaning, Humidifier, Boiler System, HRV System, Water Heater, Gas Fireplace, Tankless"
424555,2023-10-27,VIP Standard - Furnace & AC/Heat Pump,Bob,Unused,Y,N2R,"Boiler System, Ductless System, Humidifier, Gas Fireplace, Water Heater, Tankless, Duct Cleaning, HRV System"
333980,2023-02-16,Whole House Protection,Jane,Price,N,N2R,"Water Heater, Ductless System, HRV System, Duct Cleaning, Tankless, Humidifier"
335279,2023-08-08,VIP Standard - Furnace & AC/Heat Pump,Jane,Unused,Y,N2B,"Boiler System, Duct Cleaning, HRV System, Tankless, Water Heater, Ductless System, Gas Fireplace"
118979,2023-06-05,VIP Standard - Furnace,Jane,Moving,N,N2R,"Water Heater, Gas Fireplace"
844581,2023-02-02,VIP Standard - Furnace,Jill,Bad Customer Service,Y,N2G,"Gas Fireplace, Tankless, Duct Cleaning"
415462,2023-07-26,VIP Essential,Jill,Price,N,N2J,"Humidifier, Boiler System, Gas Fireplace, Tankless, HRV System, Water Heater"
928905,2023-06-01,VIP Standard - Furnace & AC/Heat Pump,Jack,Unused,Y,N2T,"Boiler System, Water Heater, Duct Cleaning, Humidifier"
824047,2023-12-01,VIP Standard - Furnace & AC/Heat Pump,Bob,Moving,N,N2K,"Water Heater, Ductless System, HRV System, Humidifier, Gas Fireplace"
457516,2023-02-02,Whole House Protection,Jane,Bad Customer Service,N,N2A,"Tankless, Humidifier"
422986,2023-07-14,VIP Standard - AC/Heat Pump,Jane,Price,N,N2M,"Duct Cleaning, Boiler System, Water Heater"
835033,2023-09-14,VIP Standard - Furnace,Jill,Unused,N,N2V,Gas Fireplace
959220,2023-08-02,VIP Standard - AC/Heat Pump,Jack,Moving,Y,N2T,"Humidifier, Ductless System"
868741,2023-07-11,VIP Standard - Furnace,Jack,Bad Customer Service,Y,N2A,"Gas Fireplace, Humidifier, Water Heater, Boiler System, Duct Cleaning"
960539,2023-09-08,VIP Standard - Furnace,Jack,Price,N,N2C,"Duct Cleaning, Water Heater, Humidifier, Gas Fireplace, Boiler System, HRV System, Tankless"
478692,2023-02-07,VIP Standard - Furnace,Jane,Price,Y,N2H,"Tankless, Gas Fireplace, Ductless System, Water Heater, Humidifier, HRV System, Duct Cleaning, Boiler System"
122227,2023-08-23,Whole House Protection,Jill,Bad Customer Service,Y,N2M,Boiler System
572212,2023-01-19,Whole House Protection,Bob,Price,N,N2K,
575343,2023-04-28,VIP Essential,Jill,Unused,N,N2N,
102655,2023-02-03,VIP Standard - AC/Heat Pump,Jack,Unused,Y,N2N,"Duct Cleaning, Ductless System, Humidifier, Tankless, Boiler System"
980276,2023-07-14,VIP Standard - Furnace & AC/Heat Pump,Jane,Bad Customer Service,N,N2E,"Humidifier, Duct Cleaning, Ductless System, HRV System, Gas Fireplace"
174827,2023-04-07,VIP Standard - Furnace & AC/Heat Pump,Jane,Moving,Y,N2K,"Water Heater, Duct Cleaning, HRV System, Ductless System, Tankless, Boiler System, Gas Fireplace, Humidifier"
103247,2023-11-27,VIP Essential,Jane,Unused,N,N2J,"HRV System, Gas Fireplace, Ductless System, Humidifier, Tankless, Duct Cleaning"
976456,2023-07-10,Whole House Protection,Jane,Bad Customer Service,N,N2L,"Boiler System, Ductless System, Duct Cleaning, Humidifier, Water Heater, HRV System, Tankless"
943880,2023-06-01,Whole House Protection,Jane,Bad Customer Service,Y,N2B,
430698,2023-12-22,Whole House Protection,Jill,Moving,Y,N2K,HRV System
185895,2023-04-03,VIP Essential,Jack,Unused,N,N2L,"Tankless, Boiler System, Gas Fireplace, HRV System, Duct Cleaning, Ductless System, Humidifier, Water Heater"
728437,2023-01-16,VIP Standard - Furnace,Jane,Price,N,N2R,"Tankless, Gas Fireplace, Boiler System, Ductless System, Duct Cleaning, HRV System, Water Heater, Humidifier"
